Currency,Event,Time_GMT,Impact,Signal,Actual,Forecast,Previous
EUR,Spanish 10-y Bond Auction,07/09/2023 09:44,Low,,3.66|1.7,,3.61|1.5
EUR,French 10-y Bond Auction,07/09/2023 09:58,Low,,3.15|1.7,,3.09|1.8
EUR,Final Employment Change q/q,07/09/2023 10:00,Low,,0.20%,0.20%,0.20%
EUR,Revised GDP q/q,07/09/2023 00:00,Low,worse,0.10%,0.30%,0.30%
CAD,Building Permits m/m,07/09/2023 13:30,Low,better,-1.50%,-2.20%,7.50%
USD,Unemployment Claims,07/09/2023 00:00,High,better,216K,232K,229K
USD,Revised Nonfarm Productivity q/q,07/09/2023 00:00,Low,,3.50%,3.50%,3.70%
USD,Revised Unit Labor Costs q/q,07/09/2023 00:00,Low,better,2.20%,1.80%,1.60%
CAD,Ivey PMI,07/09/2023 15:00,Medium,better,53.5,49.2,48.6
USD,FOMC Member Harker Speaks,07/09/2023 00:00,Medium,,,,
USD,Natural Gas Storage,07/09/2023 15:30,Low,better,33B,38B,32B
USD,Crude Oil Inventories,07/09/2023 16:00,Low,better,-6.3M,-1.8M,-10.6M
USD,FOMC Member Goolsbee Speaks,07/09/2023 16:45,Low,,,,
CAD,BOC Gov Macklem Speaks,07/09/2023 18:55,High,,,,
USD,FOMC Member Williams Speaks,07/09/2023 20:30,Low,,,,
USD,FOMC Member Bowman Speaks,07/09/2023 21:55,Low,,,,
AUD,GDP q/q,06/09/2023 02:30,High,,0.40%,0.40%,0.40%
EUR,German Factory Orders m/m,06/09/2023 07:00,Low,worse,-11.70%,-4.30%,7.60%
GBP,Construction PMI,06/09/2023 09:30,Low,better,50.8,49.8,51.7
EUR,Retail Sales m/m,06/09/2023 10:00,Low,worse,-0.20%,-0.10%,0.20%
EUR,German 10-y Bond Auction,06/09/2023 10:34,Low,,2.63|1.7,,2.46|1.6
CAD,Labor Productivity q/q,06/09/2023 13:30,Low,better,-0.60%,-0.10%,-0.80%
CAD,Trade Balance,06/09/2023 00:00,Low,better,-1.0B,-3.5B,-4.9B
USD,Trade Balance,06/09/2023 00:00,Low,better,-65.0B,-67.9B,-63.7B
GBP,Monetary Policy Report Hearings,06/09/2023 14:15,Medium,,,,
USD,Final Services PMI,06/09/2023 14:45,Low,worse,50.5,51,51
CAD,BOC Rate Statement,06/09/2023 15:00,High,,,,
CAD,Overnight Rate,06/09/2023 00:00,High,,5.00%,5.00%,5.00%
USD,ISM Services PMI,06/09/2023 00:00,High,better,54.5,52.5,52.7
USD,IBD/TIPP Economic Optimism,06/09/2023 00:00,Low,better,43.2,41.1,40.3
USD,Beige Book,06/09/2023 19:00,Low,,,,
USD,FOMC Member Logan Speaks,06/09/2023 20:00,Low,,,,
NZD,Manufacturing Sales q/q,06/09/2023 23:45,Low,,0.20%,,-2.50%
GBP,BRC Retail Sales Monitor y/y,05/09/2023 00:01,Low,better,4.30%,2.20%,1.80%
JPY,Household Spending y/y,05/09/2023 00:30,Low,worse,-5.00%,-2.40%,-4.20%
NZD,ANZ Commodity Prices m/m,05/09/2023 02:00,Low,,-2.90%,,-2.60%
AUD,Current Account,05/09/2023 02:30,Low,worse,7.7B,8.0B,12.5B
CNY,Caixin Services PMI,05/09/2023 02:45,Medium,worse,51.8,53.6,54.1
JPY,10-y Bond Auction,05/09/2023 04:35,Low,,0.66|4.0,,0.59|3.6
AUD,Cash Rate,05/09/2023 05:30,High,,4.10%,4.10%,4.10%
AUD,RBA Rate Statement,05/09/2023 00:00,High,,,,
EUR,Spanish Services PMI,05/09/2023 08:15,Low,worse,49.3,51.6,52.8
EUR,Italian Services PMI,05/09/2023 08:45,Low,worse,49.8,50.3,51.5
EUR,French Final Services PMI,05/09/2023 08:50,Low,worse,46,46.7,46.7
EUR,German Final Services PMI,05/09/2023 08:55,Low,,47.3,47.3,47.3
EUR,Final Services PMI,05/09/2023 09:00,Low,worse,47.9,48.3,48.3
GBP,Final Services PMI,05/09/2023 09:30,Low,better,49.5,48.7,48.7
EUR,PPI m/m,05/09/2023 10:00,Low,,-0.50%,-0.50%,-0.40%
USD,Factory Orders m/m,05/09/2023 15:00,Low,better,-2.10%,-2.50%,2.30%
NZD,GDT Price Index,05/09/2023 16:12,Low,,2.70%,,-7.40%
JPY,Monetary Base y/y,04/09/2023 00:50,Low,better,1.20%,-0.70%,-1.30%
AUD,MI Inflation Gauge m/m,04/09/2023 02:00,Low,,0.20%,,0.80%
AUD,ANZ Job Advertisements m/m,04/09/2023 02:30,Low,,1.90%,,0.70%
AUD,Company Operating Profits q/q,04/09/2023 00:00,Low,worse,-13.10%,-0.10%,1.30%
EUR,German Trade Balance,04/09/2023 07:00,Low,worse,15.9B,17.6B,18.8B
CHF,GDP q/q,04/09/2023 08:00,Medium,worse,0.00%,0.10%,0.30%
EUR,Spanish Unemployment Change,04/09/2023 00:00,Low,worse,24.8K,-21.3K,-11.0K
EUR,Sentix Investor Confidence,04/09/2023 09:30,Low,worse,-21.5,-19.6,-18.9
CAD,Bank Holiday,04/09/2023 00:00,Non-Economic,,,,
USD,Bank Holiday,04/09/2023 00:00,Non-Economic,,,,
EUR,German Buba President Nagel Speaks,04/09/2023 14:00,Low,,,,
EUR,ECB President Lagarde Speaks,04/09/2023 14:30,Medium,,,,
NZD,Overseas Trade Index q/q,03/09/2023 23:45,Low,better,0.40%,0.00%,-1.50%
JPY,Capital Spending q/y,01/09/2023 00:50,Low,worse,4.50%,7.90%,11.00%
JPY,Final Manufacturing PMI,01/09/2023 01:30,Low,,49.6,49.7,49.7
CNY,Caixin Manufacturing PMI,01/09/2023 02:45,Medium,better,51,49,49.2
GBP,Nationwide HPI m/m,01/09/2023 07:00,Low,worse,-0.80%,-0.30%,-0.30%
AUD,Commodity Prices y/y,01/09/2023 07:30,Low,,-23.20%,,-23.80%
CHF,CPI m/m,01/09/2023 00:00,High,,0.20%,0.20%,-0.10%
EUR,French Gov Budget Balance,01/09/2023 07:45,Low,,-169.0B,,-116.2B
EUR,Spanish Manufacturing PMI,01/09/2023 08:15,Low,worse,46.5,47.8,47.8
CHF,Manufacturing PMI,01/09/2023 08:30,Low,worse,39.9,40.5,38.5
EUR,Italian Manufacturing PMI,01/09/2023 08:45,Low,better,45.4,44,44.5
EUR,French Final Manufacturing PMI,01/09/2023 08:50,Low,worse,46,46.4,46.4
EUR,German Final Manufacturing PMI,01/09/2023 08:55,Low,,39.1,39.1,39.1
EUR,Final Manufacturing PMI,01/09/2023 09:00,Low,,43.5,43.7,43.7
GBP,Final Manufacturing PMI,01/09/2023 09:30,Low,better,43,42.5,42.5
GBP,MPC Member Pill Speaks,01/09/2023 11:00,Low,,,,
CAD,GDP m/m,01/09/2023 13:30,High,,-0.20%,-0.20%,0.20%
USD,Average Hourly Earnings m/m,01/09/2023 00:00,High,worse,0.20%,0.30%,0.40%
USD,Non-Farm Employment Change,01/09/2023 00:00,High,better,187K,169K,157K
USD,Unemployment Rate,01/09/2023 00:00,High,worse,3.80%,3.50%,3.50%
CAD,Manufacturing PMI,01/09/2023 14:30,Low,,48,,49.6
USD,Final Manufacturing PMI,01/09/2023 14:45,Low,better,47.9,47,47
USD,ISM Manufacturing PMI,01/09/2023 15:00,High,better,47.6,46.9,46.4
USD,ISM Manufacturing Prices,01/09/2023 00:00,Medium,better,48.4,43.9,42.6
USD,Construction Spending m/m,01/09/2023 00:00,Low,,0.70%,0.50%,0.60%
USD,Wards Total Vehicle Sales,01/09/2023 00:00,Low,worse,15.0M,15.5M,15.7M
JPY,Prelim Industrial Production m/m,31/08/2023 00:50,Low,worse,-2.00%,-1.20%,2.40%
JPY,Retail Sales y/y,31/08/2023 00:00,Low,better,6.80%,5.50%,5.60%
NZD,ANZ Business Confidence,31/08/2023 02:00,Low,,-3.7,,-13.1
AUD,Private Capital Expenditure q/q,31/08/2023 02:30,Low,better,2.80%,1.10%,3.70%
AUD,Private Sector Credit m/m,31/08/2023 00:00,Low,,0.30%,0.30%,0.30%
CNY,Manufacturing PMI,31/08/2023 00:00,High,better,49.7,49.1,49.3
CNY,Non-Manufacturing PMI,31/08/2023 00:00,Medium,,51,51.3,51.5
JPY,Housing Starts y/y,31/08/2023 06:00,Low,worse,-6.70%,-1.30%,-4.80%
EUR,German Retail Sales m/m,31/08/2023 07:00,Low,worse,-0.80%,0.30%,-0.20%
CHF,Retail Sales y/y,31/08/2023 07:30,Low,worse,-2.20%,1.50%,1.00%
EUR,French Consumer Spending m/m,31/08/2023 07:45,Low,,0.30%,0.30%,0.90%
EUR,French Prelim CPI m/m,31/08/2023 00:00,Low,better,1.00%,0.70%,0.10%
EUR,French Prelim GDP q/q,31/08/2023 00:00,Low,,0.50%,0.50%,0.50%
GBP,MPC Member Pill Speaks,31/08/2023 08:15,Low,,,,
EUR,German Unemployment Change,31/08/2023 08:55,Low,worse,18K,10K,1K
EUR,Italian Monthly Unemployment Rate,31/08/2023 09:00,Low,worse,7.60%,7.40%,7.50%
EUR,Core CPI Flash Estimate y/y,31/08/2023 10:00,Medium,,5.30%,5.30%,5.50%
EUR,CPI Flash Estimate y/y,31/08/2023 00:00,Medium,better,5.30%,5.10%,5.30%
EUR,Italian Prelim CPI m/m,31/08/2023 00:00,Low,better,0.40%,0.10%,0.00%
EUR,Unemployment Rate,31/08/2023 00:00,Low,,6.40%,6.40%,6.40%
EUR,ECB Monetary Policy Meeting Accounts,31/08/2023 12:30,Low,,,,
USD,Challenger Job Cuts y/y,31/08/2023 00:00,Low,,266.90%,,-8.20%
CAD,Current Account,31/08/2023 13:30,Low,better,-6.6B,-11.1B,-3.2B
USD,Core PCE Price Index m/m,31/08/2023 00:00,High,,0.20%,0.20%,0.20%
USD,Unemployment Claims,31/08/2023 00:00,High,better,228K,236K,232K
USD,Personal Income m/m,31/08/2023 00:00,Low,worse,0.20%,0.30%,0.30%
USD,Personal Spending m/m,31/08/2023 00:00,Low,better,0.80%,0.70%,0.60%
USD,Chicago PMI,31/08/2023 14:45,Low,better,48.7,44.3,42.8
USD,Natural Gas Storage,31/08/2023 15:30,Low,worse,32B,28B,18B
AUD,CPI y/y,30/08/2023 02:30,High,worse,4.90%,5.20%,5.40%
AUD,Building Approvals m/m,30/08/2023 00:00,Low,worse,-8.10%,-0.50%,-7.90%
AUD,Construction Work Done q/q,30/08/2023 00:00,Low,worse,0.40%,0.90%,3.80%
JPY,Consumer Confidence,30/08/2023 06:00,Low,worse,36.2,37.5,37.1
EUR,German Import Prices m/m,30/08/2023 07:00,Low,worse,-0.60%,-0.30%,-1.60%
EUR,German Prelim CPI m/m,30/08/2023 00:00,High,,0.30%,0.30%,0.30%
CHF,KOF Economic Barometer,30/08/2023 08:00,Low,better,91.1,90.9,92.1
EUR,Spanish Flash CPI y/y,30/08/2023 00:00,High,better,2.60%,2.50%,2.30%
CHF,Credit Suisse Economic Expectations,30/08/2023 09:00,Low,,-38.6,,-32.6
GBP,M4 Money Supply m/m,30/08/2023 09:30,Low,worse,-0.50%,0.10%,-0.10%
GBP,Mortgage Approvals,30/08/2023 00:00,Low,worse,49K,51K,55K
GBP,Net Lending to Individuals m/m,30/08/2023 00:00,Low,,1.4B,1.4B,1.7B
EUR,Italian 10-y Bond Auction,30/08/2023 10:14,Low,,4.20|1.6,,4.10|1.4
USD,ADP Non-Farm Employment Change,30/08/2023 13:15,High,worse,177K,194K,371K
USD,Prelim GDP q/q,30/08/2023 13:30,High,worse,2.10%,2.40%,2.40%
USD,Prelim GDP Price Index q/q,30/08/2023 00:00,Medium,worse,2.00%,2.20%,2.20%
USD,Goods Trade Balance,30/08/2023 00:00,Low,worse,-91.2B,-90.0B,-88.8B
USD,Prelim Wholesale Inventories m/m,30/08/2023 00:00,Low,better,-0.10%,0.20%,-0.50%
USD,Pending Home Sales m/m,30/08/2023 15:00,Medium,better,0.90%,-0.80%,0.40%
USD,Crude Oil Inventories,30/08/2023 15:30,Low,better,-10.6M,-2.2M,-6.1M
GBP,BRC Shop Price Index y/y,29/08/2023 00:01,Low,,6.90%,,7.60%
JPY,Unemployment Rate,29/08/2023 00:30,Low,worse,2.70%,2.50%,2.50%
EUR,German GfK Consumer Climate,29/08/2023 07:00,Low,worse,-25.5,-24.5,-24.6
AUD,RBA Gov Bullock Speaks,29/08/2023 08:40,High,,,,
USD,S&P/CS Composite-20 HPI y/y,29/08/2023 14:00,High,better,-1.20%,-1.50%,-1.70%
USD,HPI m/m,29/08/2023 00:00,Low,better,0.30%,0.20%,0.70%
USD,CB Consumer Confidence,29/08/2023 15:00,High,worse,106.1,116,114
USD,JOLTS Job Openings,29/08/2023 00:00,High,worse,8.83M,9.49M,9.17M
NZD,Building Consents m/m,29/08/2023 23:45,Low,,-5.20%,,3.40%
AUD,Retail Sales m/m,28/08/2023 02:30,Medium,better,0.50%,0.20%,-0.80%
GBP,Bank Holiday,28/08/2023 00:00,Non-Economic,,,,
EUR,M3 Money Supply y/y,28/08/2023 09:00,Low,worse,-0.40%,0.00%,0.60%
EUR,Private Loans y/y,28/08/2023 00:00,Low,worse,1.30%,1.60%,1.70%
EUR,German Buba President Nagel Speaks,28/08/2023 13:00,Low,,,,
CNY,CB Leading Index m/m,28/08/2023 14:00,Low,,-0.60%,,-0.10%
All,Jackson Hole Symposium,26/08/2023 00:00,Medium,,,,
GBP,MPC Member Broadbent Speaks,26/08/2023 17:25,Low,,,,
JPY,BOJ Gov Ueda Speaks,26/08/2023 00:00,Medium,,,,
GBP,GfK Consumer Confidence,25/08/2023 00:01,Low,better,-25,-29,-30
JPY,Tokyo Core CPI y/y,25/08/2023 00:30,Medium,worse,2.80%,2.90%,3.00%
JPY,SPPI y/y,25/08/2023 00:50,Low,better,1.70%,1.20%,1.40%
EUR,German Final GDP q/q,25/08/2023 07:00,Low,,0.00%,0.00%,0.00%
EUR,German ifo Business Climate,25/08/2023 09:00,High,worse,85.7,86.8,87.4
EUR,Belgian NBB Business Climate,25/08/2023 14:00,Low,worse,-14.9,-13.5,-14.8
USD,Revised UoM Consumer Sentiment,25/08/2023 15:00,High,worse,69.5,71.2,71.2
USD,Revised UoM Inflation Expectations,25/08/2023 00:00,Low,,3.50%,,3.30%
USD,Fed Chair Powell Speaks,25/08/2023 15:05,High,,,,
USD,FOMC Member Harker Speaks,25/08/2023 16:00,Medium,,,,
USD,FOMC Member Harker Speaks,25/08/2023 16:30,Medium,,,,
All,Jackson Hole Symposium,25/08/2023 00:00,High,,,,
USD,FOMC Member Goolsbee Speaks,25/08/2023 17:30,Low,,,,
USD,FOMC Member Goolsbee Speaks,25/08/2023 19:00,Low,,,,
EUR,ECB President Lagarde Speaks,25/08/2023 20:00,High,,,,
All,BRICS Summit,24/08/2023 00:00,Medium,,,,
GBP,CBI Realized Sales,24/08/2023 11:00,Low,worse,-44,-14,-25
GBP,BOE Quarterly Bulletin,24/08/2023 12:00,Low,,,,
CAD,Corporate Profits q/q,24/08/2023 13:30,Low,,-2.00%,,-5.60%
USD,Unemployment Claims,24/08/2023 00:00,High,better,230K,239K,240K
USD,Core Durable Goods Orders m/m,24/08/2023 00:00,Medium,better,0.50%,0.20%,0.50%
USD,Durable Goods Orders m/m,24/08/2023 00:00,Medium,worse,-5.20%,-4.10%,4.60%
USD,Natural Gas Storage,24/08/2023 15:30,Low,better,18B,36B,35B
USD,FOMC Member Harker Speaks,24/08/2023 17:00,Medium,,,,
All,Jackson Hole Symposium,24/08/2023 00:00,Medium,,,,
AUD,Flash Manufacturing PMI,23/08/2023 00:00,Low,,49.4,,49.6
AUD,Flash Services PMI,23/08/2023 00:00,Low,,46.7,,47.9
JPY,Flash Manufacturing PMI,23/08/2023 01:30,Low,,49.7,49.6,49.6
EUR,French Flash Manufacturing PMI,23/08/2023 08:15,High,better,46.4,45.1,45.1
EUR,French Flash Services PMI,23/08/2023 00:00,High,worse,46.7,47.5,47.1
EUR,German Flash Manufacturing PMI,23/08/2023 08:30,High,,39.1,38.9,38.8
EUR,German Flash Services PMI,23/08/2023 00:00,High,worse,47.3,51.5,52.3
EUR,Flash Manufacturing PMI,23/08/2023 09:00,Medium,better,43.7,42.8,42.7
EUR,Flash Services PMI,23/08/2023 00:00,Medium,worse,48.3,50.6,50.9
All,BRICS Summit,23/08/2023 00:00,Medium,,,,
GBP,Flash Manufacturing PMI,23/08/2023 09:30,High,worse,42.5,45.1,45.3
GBP,Flash Services PMI,23/08/2023 00:00,High,worse,48.7,50.9,51.5
CAD,Core Retail Sales m/m,23/08/2023 13:30,Medium,worse,-0.80%,0.30%,-0.30%
CAD,Retail Sales m/m,23/08/2023 00:00,Medium,better,0.10%,0.00%,0.10%
USD,Flash Manufacturing PMI,23/08/2023 14:45,High,worse,47,48.9,49
USD,Flash Services PMI,23/08/2023 00:00,High,worse,51,52.1,52.3
EUR,Consumer Confidence,23/08/2023 15:00,Low,worse,-16,-15,-15
USD,New Home Sales,23/08/2023 00:00,Medium,better,714K,705K,684K
USD,Crude Oil Inventories,23/08/2023 15:30,Low,better,-6.1M,-2.9M,-6.0M
JPY,BOJ Core CPI y/y,22/08/2023 06:00,Low,better,3.30%,2.90%,3.00%
CHF,Trade Balance,22/08/2023 07:00,Low,worse,3.13B,4.50B,4.79B
GBP,Public Sector Net Borrowing,22/08/2023 00:00,Low,,3.5B,3.8B,17.1B
EUR,Current Account,22/08/2023 09:00,Low,better,35.8B,10.2B,7.9B
All,BRICS Summit,22/08/2023 00:00,Medium,,,,
GBP,CBI Industrial Order Expectations,22/08/2023 11:00,Low,worse,-15,-11,-9
USD,Richmond Manufacturing Index,22/08/2023 14:59,Medium,better,-7,-10,-9
USD,Existing Home Sales,22/08/2023 15:00,Medium,worse,4.07M,4.15M,4.16M
AUD,CB Leading Index m/m,22/08/2023 15:30,Low,,0.00%,,0.00%
USD,FOMC Member Goolsbee Speaks,22/08/2023 19:30,Low,,,,
USD,FOMC Member Bowman Speaks,22/08/2023 19:32,Low,,,,
USD,FOMC Member Goolsbee Speaks,22/08/2023 20:30,Low,,,,
NZD,Retail Sales q/q,22/08/2023 23:45,Medium,worse,-1.00%,-0.40%,-1.60%
NZD,Core Retail Sales q/q,22/08/2023 00:00,Low,worse,-1.80%,-0.20%,-1.60%
GBP,Rightmove HPI m/m,21/08/2023 00:01,Low,,-1.90%,,-0.20%
CNY,1-y Loan Prime Rate,21/08/2023 02:15,High,better,3.45%,3.40%,3.55%
CNY,5-y Loan Prime Rate,21/08/2023 00:00,Medium,better,4.20%,4.05%,4.20%
NZD,Credit Card Spending y/y,21/08/2023 04:00,Low,,3.60%,,5.10%
EUR,German PPI m/m,21/08/2023 07:00,Low,worse,-1.10%,-0.10%,-0.30%
EUR,German Buba Monthly Report,21/08/2023 11:00,Low,,,,
CAD,NHPI m/m,21/08/2023 13:30,Low,worse,-0.10%,0.00%,0.10%
NZD,Trade Balance,20/08/2023 23:45,Low,worse,-1107M,-50M,-111M
JPY,National Core CPI y/y,18/08/2023 00:30,Low,,3.10%,3.10%,3.30%
GBP,Retail Sales m/m,18/08/2023 07:00,Medium,worse,-1.20%,-0.60%,0.60%
CNY,Foreign Direct Investment ytd/y,18/08/2023 09:34,Low,,-4.00%,,-2.70%
EUR,Final Core CPI y/y,18/08/2023 10:00,Low,,5.50%,5.50%,5.50%
EUR,Final CPI y/y,18/08/2023 00:00,Low,,5.30%,5.30%,5.30%
CAD,IPPI m/m,18/08/2023 13:30,Low,better,0.40%,0.20%,-0.60%
CAD,RMPI m/m,18/08/2023 00:00,Low,better,3.50%,2.10%,-2.00%
JPY,Core Machinery Orders m/m,17/08/2023 00:50,Low,worse,2.70%,3.60%,-7.60%
JPY,Trade Balance,17/08/2023 00:00,Low,worse,-0.56T,-0.44T,-0.54T
AUD,Employment Change,17/08/2023 02:30,High,worse,-14.6K,14.6K,31.6K
AUD,Unemployment Rate,17/08/2023 00:00,High,worse,3.70%,3.60%,3.50%
JPY,Tertiary Industry Activity m/m,17/08/2023 05:30,Low,worse,-0.40%,-0.10%,1.00%
EUR,Trade Balance,17/08/2023 10:00,Low,better,12.5B,3.8B,0.2B
CAD,Foreign Securities Purchases,17/08/2023 13:30,Low,worse,12.56B,13.20B,10.21B
USD,Unemployment Claims,17/08/2023 00:00,High,,239K,240K,250K
USD,Philly Fed Manufacturing Index,17/08/2023 00:00,Medium,better,12,-9.8,-13.5
USD,CB Leading Index m/m,17/08/2023 15:00,Low,,-0.40%,-0.40%,-0.70%
USD,Natural Gas Storage,17/08/2023 15:30,Low,,35B,35B,29B
AUD,MI Leading Index m/m,16/08/2023 01:30,Low,,0.00%,,0.10%
CNY,New Home Prices m/m,16/08/2023 02:30,Low,,-0.23%,,-0.06%
NZD,Official Cash Rate,16/08/2023 03:00,High,,5.50%,5.50%,5.50%
NZD,RBNZ Monetary Policy Statement,16/08/2023 00:00,High,,,,
NZD,RBNZ Rate Statement,16/08/2023 00:00,High,,,,
NZD,RBNZ Press Conference,16/08/2023 04:00,High,,,,
GBP,CPI y/y,16/08/2023 07:00,High,better,6.80%,6.70%,7.90%
GBP,Core CPI y/y,16/08/2023 00:00,Low,better,6.90%,6.80%,6.90%
GBP,PPI Input m/m,16/08/2023 00:00,Low,worse,-0.40%,-0.10%,-1.30%
GBP,PPI Output m/m,16/08/2023 00:00,Low,better,0.10%,-0.20%,-0.20%
GBP,RPI y/y,16/08/2023 00:00,Low,worse,9.00%,9.10%,10.70%
GBP,HPI y/y,16/08/2023 09:30,Low,,1.70%,1.80%,1.80%
EUR,Flash Employment Change q/q,16/08/2023 10:00,Low,worse,0.20%,0.40%,0.50%
EUR,Flash GDP q/q,16/08/2023 00:00,Low,,0.30%,0.30%,0.30%
EUR,Industrial Production m/m,16/08/2023 00:00,Low,better,0.50%,-0.10%,0.00%
EUR,German 30-y Bond Auction,16/08/2023 10:36,Low,,2.68|2.2,,2.40|2.0
CAD,Housing Starts,16/08/2023 13:15,Low,better,255K,245K,283K
CAD,Wholesale Sales m/m,16/08/2023 13:30,Low,better,-2.80%,-4.20%,2.90%
USD,Building Permits,16/08/2023 00:00,Medium,worse,1.44M,1.47M,1.44M
USD,Housing Starts,16/08/2023 00:00,Low,,1.45M,1.45M,1.40M
USD,Industrial Production m/m,16/08/2023 14:15,Medium,better,1.00%,0.30%,-0.80%
USD,Capacity Utilization Rate,16/08/2023 00:00,Low,better,79.30%,79.10%,78.60%
USD,Crude Oil Inventories,16/08/2023 15:30,Low,better,-6.0M,-2.4M,5.9M
USD,FOMC Meeting Minutes,16/08/2023 19:00,High,,,,
NZD,RBNZ Gov Orr Speaks,16/08/2023 21:10,Medium,,,,
NZD,PPI Input q/q,16/08/2023 23:45,Low,worse,-0.20%,0.40%,0.00%
NZD,PPI Output q/q,16/08/2023 00:00,Low,worse,0.20%,0.80%,0.20%
JPY,Prelim GDP Price Index y/y,15/08/2023 00:50,Low,worse,3.40%,3.80%,2.00%
JPY,Prelim GDP q/q,15/08/2023 00:00,Low,better,1.50%,0.80%,0.70%
AUD,Monetary Policy Meeting Minutes,15/08/2023 02:30,High,,,,
AUD,Wage Price Index q/q,15/08/2023 00:00,High,worse,0.80%,0.90%,0.80%
CNY,Industrial Production y/y,15/08/2023 03:00,High,worse,3.70%,4.30%,4.40%
CNY,Retail Sales y/y,15/08/2023 00:00,Medium,worse,2.50%,4.20%,3.10%
CNY,Fixed Asset Investment ytd/y,15/08/2023 00:00,Low,worse,3.40%,3.80%,3.80%
CNY,NBS Press Conference,15/08/2023 00:00,Low,,,,
CNY,Unemployment Rate,15/08/2023 00:00,Low,worse,5.30%,5.20%,5.20%
JPY,Revised Industrial Production m/m,15/08/2023 05:30,Low,better,2.40%,2.00%,2.00%
GBP,Claimant Count Change,15/08/2023 07:00,High,worse,29.0K,19.6K,16.2K
GBP,Average Earnings Index 3m/y,15/08/2023 00:00,Medium,better,8.20%,7.30%,7.20%
GBP,Unemployment Rate,15/08/2023 00:00,Low,worse,4.20%,4.00%,4.00%
CHF,PPI m/m,15/08/2023 07:30,Low,worse,-0.10%,0.20%,0.00%
EUR,French Bank Holiday,15/08/2023 00:00,Non-Economic,,,,
EUR,Italian Bank Holiday,15/08/2023 00:00,Non-Economic,,,,
EUR,German ZEW Economic Sentiment,15/08/2023 10:00,Medium,better,-12.3,-15,-14.7
EUR,ZEW Economic Sentiment,15/08/2023 00:00,Low,better,-5.5,-12,-12.2
CAD,CPI m/m,15/08/2023 13:30,High,better,0.60%,0.30%,0.10%
CAD,Median CPI y/y,15/08/2023 00:00,High,,3.70%,3.70%,3.70%
CAD,Trimmed CPI y/y,15/08/2023 00:00,High,,3.60%,3.60%,3.70%
CAD,Common CPI y/y,15/08/2023 00:00,Medium,worse,4.80%,5.00%,5.10%
CAD,Manufacturing Sales m/m,15/08/2023 00:00,Low,better,-1.70%,-2.10%,1.20%
USD,Core Retail Sales m/m,15/08/2023 00:00,High,better,1.00%,0.40%,0.20%
USD,Empire State Manufacturing Index,15/08/2023 00:00,High,worse,-19,-0.9,1.1
USD,Retail Sales m/m,15/08/2023 00:00,High,better,0.70%,0.40%,0.30%
USD,Import Prices m/m,15/08/2023 00:00,Low,better,0.40%,0.20%,-0.10%
CAD,Core CPI m/m,15/08/2023 13:32,Low,,0.50%,,-0.10%
GBP,CB Leading Index m/m,15/08/2023 14:30,Low,,-0.80%,,-0.80%
USD,Business Inventories m/m,15/08/2023 15:00,Low,better,0.00%,0.20%,0.00%
USD,NAHB Housing Market Index,15/08/2023 00:00,Low,worse,50,56,56
NZD,GDT Price Index,15/08/2023 15:45,Low,,-7.40%,,-4.30%
USD,FOMC Member Kashkari Speaks,15/08/2023 16:00,Low,,,,
USD,TIC Long-Term Purchases,15/08/2023 21:00,Low,better,195.9B,50.0B,23.6B
EUR,German WPI m/m,14/08/2023 07:00,Low,,-0.20%,-0.10%,-0.20%
NZD,BusinessNZ Services Index,13/08/2023 23:30,Low,,47.8,,49.6
NZD,Visitor Arrivals m/m,13/08/2023 23:45,Low,,11.30%,,-27.50%
AUD,RBA Gov Lowe Speaks,11/08/2023 00:30,High,,,,
JPY,Bank Holiday,11/08/2023 00:00,Non-Economic,,,,
GBP,GDP m/m,11/08/2023 07:00,High,better,0.50%,0.20%,-0.10%
GBP,Prelim GDP q/q,11/08/2023 00:00,Medium,better,0.20%,0.00%,0.10%
GBP,Construction Output m/m,11/08/2023 00:00,Low,better,1.60%,0.00%,-0.30%
GBP,Goods Trade Balance,11/08/2023 00:00,Low,better,-15.5B,-16.6B,-18.4B
GBP,Index of Services 3m/3m,11/08/2023 00:00,Low,better,0.10%,0.00%,0.00%
GBP,Industrial Production m/m,11/08/2023 00:00,Low,better,1.80%,0.20%,-0.60%
GBP,Manufacturing Production m/m,11/08/2023 00:00,Low,better,2.40%,0.20%,-0.10%
GBP,Prelim Business Investment q/q,11/08/2023 00:00,Low,better,3.40%,-1.00%,3.30%
EUR,French Final CPI m/m,11/08/2023 07:45,Low,better,0.10%,0.00%,0.00%
EUR,Italian Trade Balance,11/08/2023 09:00,Low,better,7.72B,4.23B,4.77B
CNY,New Loans,11/08/2023 09:33,Medium,worse,346B,790B,3050B
CNY,M2 Money Supply y/y,11/08/2023 00:00,Low,worse,10.70%,11.00%,11.30%
GBP,NIESR GDP Estimate,11/08/2023 13:01,Low,,0.30%,,0.20%
USD,Core PPI m/m,11/08/2023 13:30,High,better,0.30%,0.20%,-0.10%
USD,PPI m/m,11/08/2023 00:00,High,better,0.30%,0.20%,0.00%
USD,Prelim UoM Consumer Sentiment,11/08/2023 15:00,High,,71.2,71.4,71.6
USD,Prelim UoM Inflation Expectations,11/08/2023 00:00,Medium,,3.30%,,3.40%
GBP,RICS House Price Balance,10/08/2023 00:01,Low,worse,-53%,-50%,-48%
JPY,PPI y/y,10/08/2023 00:50,Low,,3.60%,3.50%,4.30%
